time,close,high,low,open,volumefrom,volumeto
2023-02-23 00:00:00,24134.39,24239.56,24132.74,24186.92,1880.75,45493361.69
2023-02-23 01:00:00,24183.81,24205.9,24132.64,24134.39,950.76,22978577.5
2023-02-23 02:00:00,24525.06,24581.12,24180.82,24183.81,5014.02,122379608.81
2023-02-23 03:00:00,24453.46,24595.08,24443.94,24525.06,2167.48,53156510.28
2023-02-23 04:00:00,24521.85,24522.55,24432.67,24453.46,1254.02,30678468.76
2023-02-23 05:00:00,24393.89,24523.18,24360.53,24521.85,1684.09,41130922.32
2023-02-23 06:00:00,24392.52,24411.64,24321.9,24393.89,935.76,22807790.76
2023-02-23 07:00:00,24379.1,24428.14,24374.07,24392.52,1038.36,25338555.68
2023-02-23 08:00:00,24410.75,24491.07,24370.82,24379.1,1824.38,44576142.15
2023-02-23 09:00:00,24293.47,24465.04,24279.36,24410.75,1603.32,39081760.88
2023-02-23 10:00:00,24252.97,24312.31,24220.3,24293.47,1604.81,38937378.53
2023-02-23 11:00:00,23783.3,24268.22,23675.06,24252.97,6792.3,162264822.14
2023-02-23 12:00:00,23916.79,23995.75,23629.29,23783.3,4372.2,104097119.2
2023-02-23 13:00:00,24028.39,24212.61,23860.18,23916.79,8012.2,192816705.35
2023-02-23 14:00:00,24015.17,24150.41,23924.69,24028.39,5557.47,133613200.32
2023-02-23 15:00:00,23956.66,24058.78,23877.32,24015.17,4117.4,98676752.8
2023-02-23 16:00:00,23773.47,23989.65,23771.43,23956.66,4065.23,97138674.35
2023-02-23 17:00:00,23844.28,23980.41,23756.65,23773.47,3355.15,80062764.24
2023-02-23 18:00:00,23863.06,23899.92,23750.94,23844.28,2601.51,61977458.26
2023-02-23 19:00:00,23976.66,24045.56,23845.98,23863.06,2499.51,59932528.07
2023-02-23 20:00:00,23935.97,24062.21,23914.01,23976.66,1793.48,43042810.88
2023-02-23 21:00:00,23875.84,24008.73,23875.17,23935.97,1156.24,27684500.11
2023-02-23 22:00:00,23874.23,23899.41,23768.76,23875.84,1905.64,45411753.87
2023-02-23 23:00:00,23941.1,23955.32,23839.47,23874.23,1539.27,36786198.89
2023-02-24 00:00:00,23961.61,24012.69,23901.99,23941.1,1403.25,33617239.28
2023-02-24 01:00:00,24002.91,24125.33,23960.66,23961.61,2452.18,58989030.42
2023-02-24 02:00:00,23943.44,24023.51,23922.38,24002.91,1324.45,31753178.29
2023-02-24 03:00:00,23952.81,23993.24,23930.49,23943.44,566.97,13588350.99
2023-02-24 04:00:00,23949.31,23986.51,23946.87,23952.81,591.32,14172480.1
2023-02-24 05:00:00,23898.33,23949.31,23867.89,23949.31,1260.93,30134179.52
2023-02-24 06:00:00,23906.62,23908.97,23793.8,23898.33,1673.59,39903507.94
2023-02-24 07:00:00,23837.56,23906.62,23782.05,23906.62,2170.03,51720785.51
2023-02-24 08:00:00,23901.3,23967.11,23773.07,23837.56,2619.09,62471300.41
2023-02-24 09:00:00,23834.81,23927.37,23820.18,23901.3,847.39,20230278.18
2023-02-24 10:00:00,23862.52,23885.66,23791.3,23834.81,779.6,18583488.79
2023-02-24 11:00:00,23891.19,23894.2,23841.03,23862.52,656.21,15666199.13
2023-02-24 12:00:00,23892.72,24017.28,23871.1,23891.19,1630.42,39017442.18
2023-02-24 13:00:00,23791.01,23955.33,23699.57,23892.72,3615.22,86114361.3
2023-02-24 14:00:00,23821.15,23850.84,23704.1,23791.01,2941.54,69950227.53
2023-02-24 15:00:00,23353.19,23841.7,23341.13,23821.15,10218.44,240667502.47
2023-02-24 16:00:00,23202.78,23355.02,22979.29,23353.19,11576.62,267995949.91
2023-02-24 17:00:00,23075.39,23202.78,23034.82,23202.78,2803.8,64853780.45
2023-02-24 18:00:00,23093.87,23151.42,23028.58,23075.39,2365.89,54643965.42
2023-02-24 19:00:00,23188.19,23190.14,22830.91,23093.87,5633.07,129720380.56
2023-02-24 20:00:00,23228.03,23326.51,23159.47,23188.19,5360.84,124585068.39
2023-02-24 21:00:00,23107.72,23232.72,23067.34,23228.03,2267.85,52485902.98
2023-02-24 22:00:00,23113.63,23151.67,22985.13,23107.72,2098.49,48408574.04
2023-02-24 23:00:00,23189.78,23206.43,23058.51,23113.63,1794.95,41556062.43
2023-02-25 00:00:00,23166.39,23201.96,23124.77,23189.78,967.34,22410644.39
2023-02-25 01:00:00,23184.23,23201.93,23140.54,23166.39,520.45,12061407.94
2023-02-25 02:00:00,23088.41,23217.24,23056.87,23184.23,1686.8,38978167.01
2023-02-25 03:00:00,23078.05,23125.31,23056.22,23088.41,728.81,16828967.95
2023-02-25 04:00:00,23125.64,23125.64,23061.29,23078.05,745.22,17207479.59
2023-02-25 05:00:00,23045.24,23125.84,23030.53,23125.64,698.92,16123025.02
2023-02-25 06:00:00,23090.12,23099.51,23044.39,23045.24,517.65,11946897.91
2023-02-25 07:00:00,23121.39,23122.36,23077.88,23090.12,463.23,10699011.09
2023-02-25 08:00:00,23103.7,23156.23,23102.92,23121.39,607.35,14046708.73
2023-02-25 09:00:00,23060.14,23122.02,23020.86,23103.7,1046.6,24136372.91
2023-02-25 10:00:00,22936.49,23064.73,22935.53,23060.14,1264.44,29060968.76
2023-02-25 11:00:00,22984.73,23012.93,22923.66,22936.49,1134.05,26047610.56
2023-02-25 12:00:00,23014.81,23018.8,22874.21,22984.73,1595.08,36598779.63
2023-02-25 13:00:00,23004.02,23077.0,22999.72,23014.81,1006.04,23171739.32
2023-02-25 14:00:00,23006.07,23045.99,22987.21,23004.02,794.21,18274164.03
2023-02-25 15:00:00,23009.0,23029.43,22978.17,23006.07,642.06,14769115.78
2023-02-25 16:00:00,23016.29,23085.25,23003.51,23009.0,1066.94,24589830.87
2023-02-25 17:00:00,23045.48,23049.52,23007.6,23016.29,778.28,17922183.51
2023-02-25 18:00:00,22983.78,23048.83,22978.43,23045.48,791.21,18204142.76
2023-02-25 19:00:00,22986.08,23016.85,22922.55,22983.78,1167.82,26820914.62
2023-02-25 20:00:00,22921.71,22997.19,22809.89,22986.08,2657.41,60800329.48
2023-02-25 21:00:00,22944.16,22960.69,22863.96,22921.71,1331.05,30505954.61
2023-02-25 22:00:00,23125.11,23160.6,22914.26,22944.16,1435.25,33082929.46
2023-02-25 23:00:00,23167.45,23183.34,23111.17,23125.11,1065.24,24662880.14
2023-02-26 00:00:00,23102.5,23168.67,23087.57,23167.45,632.51,14622465.39
2023-02-26 01:00:00,23113.66,23125.82,23079.74,23102.5,453.96,10487767.67
2023-02-26 02:00:00,23239.14,23244.21,23068.21,23113.66,1156.81,26788125.49
2023-02-26 03:00:00,23219.63,23250.58,23196.78,23239.14,916.83,21294654.07
2023-02-26 04:00:00,23191.82,23229.36,23164.01,23219.63,536.02,12433966.44
2023-02-26 05:00:00,23138.06,23202.02,23138.06,23191.82,373.49,8655290.83
2023-02-26 06:00:00,23171.53,23172.02,23100.53,23138.06,518.71,12002201.81
2023-02-26 07:00:00,23153.83,23202.08,23150.23,23171.53,507.4,11759655.78
2023-02-26 08:00:00,23159.72,23174.59,23122.22,23153.83,406.04,9398018.23
2023-02-26 09:00:00,23277.99,23288.32,23158.62,23159.72,1214.17,28211528.16
2023-02-26 10:00:00,23232.36,23280.91,23218.38,23277.99,429.47,9981431.23
2023-02-26 11:00:00,23254.08,23257.5,23210.75,23232.36,398.82,9265889.37
2023-02-26 12:00:00,23166.09,23278.48,23142.41,23254.08,1111.29,25804330.69
2023-02-26 13:00:00,23209.68,23211.35,23148.1,23166.09,452.56,10491830.3
2023-02-26 14:00:00,23200.75,23306.33,23192.14,23209.68,1539.19,35783563.75
2023-02-26 15:00:00,23250.45,23250.45,23190.03,23200.75,759.72,17636542.66
2023-02-26 16:00:00,23186.16,23259.12,23174.98,23250.45,666.62,15472206.65
2023-02-26 17:00:00,23242.09,23242.19,23148.96,23186.16,677.85,15717647.47
