time,close,high,low,open,volumefrom,volumeto,Date,Time,volume,marketcap,price_delta
2023-02-22 18:00:00,23748.49,23831.53,23730.52,23746.56,2064.56,49116880.16,2023-02-22,18:00:00,49114815.599999994,1166451737310.9585,1.930000000000291
2023-02-22 19:00:00,23799.04,23962.95,23685.63,23748.49,6821.57,162479552.97,2023-02-22,19:00:00,162472731.4,3866857380315.149,50.54999999999927
2023-02-22 20:00:00,23792.22,23873.94,23745.48,23799.04,2517.74,59932973.24,2023-02-22,20:00:00,59930455.5,1425938484580.1929,-6.819999999999709
2023-02-22 21:00:00,23804.3,23845.61,23751.17,23792.22,1559.51,37108891.87,2023-02-22,21:00:00,37107332.36,883351194741.0409,12.079999999998108
2023-02-22 22:00:00,24099.28,24100.69,23790.62,23804.3,2260.85,54205578.77,2023-02-22,22:00:00,54203317.92,1306315420340.2856,294.97999999999956
2023-02-22 23:00:00,24186.92,24210.89,24095.55,24099.28,3109.43,75130279.68,2023-02-22,23:00:00,75127170.25,1817170064197.7856,87.63999999999942
2023-02-23 00:00:00,24134.39,24239.56,24132.74,24186.92,1880.75,45493361.69,2023-02-23,00:00:00,45491480.94,1097954533437.519,-52.529999999998836
2023-02-23 01:00:00,24183.81,24205.9,24132.64,24134.39,950.76,22978577.5,2023-02-23,01:00:00,22977626.74,555709552330.275,49.42000000000189
2023-02-23 02:00:00,24525.06,24581.12,24180.82,24183.81,5014.02,122379608.81,2023-02-23,02:00:00,122374594.79,3001367248841.779,341.25
2023-02-23 03:00:00,24453.46,24595.08,24443.94,24525.06,2167.48,53156510.28,2023-02-23,03:00:00,53154342.800000004,1299860597871.5688,-71.60000000000218
2023-02-23 04:00:00,24521.85,24522.55,24432.67,24453.46,1254.02,30678468.76,2023-02-23,04:00:00,30677214.740000002,752292809162.406,68.38999999999942
2023-02-23 05:00:00,24393.89,24523.18,24360.53,24521.85,1684.09,41130922.32,2023-02-23,05:00:00,41129238.23,1003343194672.6248,-127.95999999999913
2023-02-23 06:00:00,24392.52,24411.64,24321.9,24393.89,935.76,22807790.76,2023-02-23,06:00:00,22806855.0,556339492269.1152,-1.3699999999989814
2023-02-23 07:00:00,24379.1,24428.14,24374.07,24392.52,1038.36,25338555.68,2023-02-23,07:00:00,25337517.32,617731182778.288,-13.420000000001892
2023-02-23 08:00:00,24410.75,24491.07,24370.82,24379.1,1824.38,44576142.15,2023-02-23,08:00:00,44574317.769999996,1088137061988.1124,31.650000000001455
2023-02-23 09:00:00,24293.47,24465.04,24279.36,24410.75,1603.32,39081760.88,2023-02-23,09:00:00,39080157.56,949431585485.4537,-117.27999999999884
2023-02-23 10:00:00,24252.97,24312.31,24220.3,24293.47,1604.81,38937378.53,2023-02-23,10:00:00,38935773.72,944347073366.7341,-40.5
2023-02-23 11:00:00,23783.3,24268.22,23675.06,24252.97,6792.3,162264822.14,2023-02-23,11:00:00,162258029.83999997,3859192944402.2617,-469.6700000000019
2023-02-23 12:00:00,23916.79,23995.75,23629.29,23783.3,4372.2,104097119.2,2023-02-23,12:00:00,104092747.0,2489668939511.368,133.4900000000016
2023-02-23 13:00:00,24028.39,24212.61,23860.18,23916.79,8012.2,192816705.35,2023-02-23,13:00:00,192808693.15,4633074994664.887,111.59999999999854
2023-02-23 14:00:00,24015.17,24150.41,23924.69,24028.39,5557.47,133613200.32,2023-02-23,14:00:00,133607642.85,3208743719928.854,-13.220000000001164
2023-02-23 15:00:00,23956.66,24058.78,23877.32,24015.17,4117.4,98676752.8,2023-02-23,15:00:00,98672635.39999999,2363965416733.648,-58.5099999999984
2023-02-23 16:00:00,23773.47,23989.65,23771.43,23956.66,4065.23,97138674.35,2023-02-23,16:00:00,97134609.11999999,2309323360499.4946,-183.1899999999987
2023-02-23 17:00:00,23844.28,23980.41,23756.65,23773.47,3355.15,80062764.24,2023-02-23,17:00:00,80059409.08999999,1909038968112.5469,70.80999999999767
2023-02-23 18:00:00,23863.06,23899.92,23750.94,23844.28,2601.51,61977458.26,2023-02-23,18:00:00,61974856.75,1478971805105.8757,18.780000000002474
2023-02-23 19:00:00,23976.66,24045.56,23845.98,23863.06,2499.51,59932528.07,2023-02-23,19:00:00,59930028.56,1436981848474.8462,113.59999999999854
2023-02-23 20:00:00,23935.97,24062.21,23914.01,23976.66,1793.48,43042810.88,2023-02-23,20:00:00,43041017.400000006,1030271429939.3538,-40.68999999999869
2023-02-23 21:00:00,23875.84,24008.73,23875.17,23935.97,1156.24,27684500.11,2023-02-23,21:00:00,27683343.87,660990695106.3424,-60.13000000000102
2023-02-23 22:00:00,23874.23,23899.41,23768.76,23875.84,1905.64,45411753.87,2023-02-23,22:00:00,45409848.23,1084170656595.77,-1.610000000000582
2023-02-23 23:00:00,23941.1,23955.32,23839.47,23874.23,1539.27,36786198.89,2023-02-23,23:00:00,36784659.62,880702066245.3789,66.86999999999898
2023-02-24 00:00:00,23961.61,24012.69,23901.99,23941.1,1403.25,33617239.28,2023-02-24,00:00:00,33615836.03,805523176904.0409,20.510000000002037
2023-02-24 01:00:00,24002.91,24125.33,23960.66,23961.61,2452.18,58989030.42,2023-02-24,01:00:00,58986578.24,1415908388158.5222,41.29999999999927
2023-02-24 02:00:00,23943.44,24023.51,23922.38,24002.91,1324.45,31753178.29,2023-02-24,02:00:00,31751853.84,760280319195.9175,-59.470000000001164
2023-02-24 03:00:00,23952.81,23993.24,23930.49,23943.44,566.97,13588350.99,2023-02-24,03:00:00,13587784.02,325479189476.7819,9.37000000000262
2023-02-24 04:00:00,23949.31,23986.51,23946.87,23952.81,591.32,14172480.1,2023-02-24,04:00:00,14171888.78,339421119383.731,-3.5
2023-02-24 05:00:00,23898.33,23949.31,23867.89,23949.31,1260.93,30134179.52,2023-02-24,05:00:00,30132918.59,720156566448.2017,-50.97999999999956
2023-02-24 06:00:00,23906.62,23908.97,23793.8,23898.33,1673.59,39903507.94,2023-02-24,06:00:00,39901834.349999994,953958000988.5627,8.289999999997235
2023-02-24 07:00:00,23837.56,23906.62,23782.05,23906.62,2170.03,51720785.51,2023-02-24,07:00:00,51718615.48,1232897327841.7556,-69.05999999999767
2023-02-24 08:00:00,23901.3,23967.11,23773.07,23837.56,2619.09,62471300.41,2023-02-24,08:00:00,62468681.31999999,1493145292489.533,63.73999999999796
2023-02-24 09:00:00,23834.81,23927.37,23820.18,23901.3,847.39,20230278.18,2023-02-24,09:00:00,20229430.79,482184836667.4458,-66.48999999999796
2023-02-24 10:00:00,23862.52,23885.66,23791.3,23834.81,779.6,18583488.79,2023-02-24,10:00:00,18582709.189999998,443448872921.15076,27.709999999999127
2023-02-24 11:00:00,23891.19,23894.2,23841.03,23862.52,656.21,15666199.13,2023-02-24,11:00:00,15665542.92,374284139992.6647,28.669999999998254
2023-02-24 12:00:00,23892.72,24017.28,23871.1,23891.19,1630.42,39017442.18,2023-02-24,12:00:00,39015811.76,932232821122.9297,1.5300000000024738
2023-02-24 13:00:00,23791.01,23955.33,23699.57,23892.72,3615.22,86114361.3,2023-02-24,13:00:00,86110746.08,2048747630831.9128,-101.71000000000276
2023-02-24 14:00:00,23821.15,23850.84,23704.1,23791.01,2941.54,69950227.53,2023-02-24,14:00:00,69947285.99,1666294862526.2595,30.140000000003056
2023-02-24 15:00:00,23353.19,23841.7,23341.13,23821.15,10218.44,240667502.47,2023-02-24,15:00:00,240657284.03,5620353912007.379,-467.96000000000276
2023-02-24 16:00:00,23202.78,23355.02,22979.29,23353.19,11576.62,267995949.91,2023-02-24,16:00:00,267984373.29,6218251066652.749,-150.40999999999985
2023-02-24 17:00:00,23075.39,23202.78,23034.82,23202.78,2803.8,64853780.45,2023-02-24,17:00:00,64850976.650000006,1496526276858.1255,-127.38999999999942
2023-02-24 18:00:00,23093.87,23151.42,23028.58,23075.39,2365.89,54643965.42,2023-02-24,18:00:00,54641599.53,1261940633693.9753,18.479999999999563
2023-02-24 19:00:00,23188.19,23190.14,22830.91,23093.87,5633.07,129720380.56,2023-02-24,19:00:00,129714747.49000001,3007980831297.5864,94.31999999999971
2023-02-24 20:00:00,23228.03,23326.51,23159.47,23188.19,5360.84,124585068.39,2023-02-24,20:00:00,124579707.55,2893865706114.9717,39.840000000000146
2023-02-24 21:00:00,23107.72,23232.72,23067.34,23228.03,2267.85,52485902.98,2023-02-24,21:00:00,52483635.129999995,1212829550009.0056,-120.30999999999767
2023-02-24 22:00:00,23113.63,23151.67,22985.13,23107.72,2098.49,48408574.04,2023-02-24,22:00:00,48406475.55,1118897869188.1653,5.9099999999998545
2023-02-24 23:00:00,23189.78,23206.43,23058.51,23113.63,1794.95,41556062.43,2023-02-24,23:00:00,41554267.48,963675945417.9653,76.14999999999782
2023-02-25 00:00:00,23166.39,23201.96,23124.77,23189.78,967.34,22410644.39,2023-02-25,00:00:00,22409677.05,519173728090.0521,-23.389999999999418
2023-02-25 01:00:00,23184.23,23201.93,23140.54,23166.39,520.45,12061407.94,2023-02-25,01:00:00,12060887.49,279634455804.7862,17.840000000000146
2023-02-25 02:00:00,23088.41,23217.24,23056.87,23184.23,1686.8,38978167.01,2023-02-25,02:00:00,38976480.21,899943900975.354,-95.81999999999971
2023-02-25 03:00:00,23078.05,23125.31,23056.22,23088.41,728.81,16828967.95,2023-02-25,03:00:00,16828239.14,388379763798.4975,-10.360000000000582
