time,close,high,low,open,volumefrom,volumeto,coin_name,coin_symbol,market_cap,volume
2022-08-21 23:00:00,21514.79,21640.49,21511.08,21567.65,1215.14,26200423.77,Bitcoin,BTC,563696615322.5583,26199208.63
2022-08-22 22:00:00,21173.08,21240.65,21088.45,21102.27,1106.83,23451645.14,Bitcoin,BTC,496543558680.83124,23450538.310000002
2022-08-22 23:00:00,21399.66,21419.32,21156.03,21173.08,1708.5,36385155.95,Bitcoin,BTC,778629966376.977,36383447.45
2022-08-23 22:00:00,21479.92,21586.08,21475.98,21489.99,1208.95,26026546.36,Bitcoin,BTC,559048133689.0912,26025337.41
2022-08-23 23:00:00,21520.62,21599.49,21460.98,21479.92,1395.01,30038389.79,Bitcoin,BTC,646444772082.4697,30036994.779999997
2022-08-24 22:00:00,21494.5,21654.81,21455.84,21589.64,2523.07,54320209.77,Bitcoin,BTC,1167585748901.2651,54317686.7
2022-08-24 23:00:00,21369.05,21532.1,21364.94,21494.5,1845.03,39558762.72,Bitcoin,BTC,845333178501.8159,39556917.69
2022-08-25 22:00:00,21579.89,21625.31,21543.54,21581.69,1182.79,25534524.91,Bitcoin,BTC,551032238760.0599,25533342.12
2022-08-25 23:00:00,21565.47,21619.78,21520.21,21579.89,983.01,21207957.06,Bitcoin,BTC,457359561738.7182,21206974.049999997
2022-08-26 22:00:00,20616.16,20682.55,20592.32,20647.6,1530.88,31595549.43,Bitcoin,BTC,651378902336.7888,31594018.55
2022-08-26 23:00:00,20247.99,20633.28,20121.8,20616.16,6866.11,139366340.91,Bitcoin,BTC,2821888277082.271,139359474.79999998
2022-08-27 22:00:00,20023.83,20098.26,19867.73,19902.87,2194.74,43842648.0,Bitcoin,BTC,877897730301.8401,43840453.26
2022-08-27 23:00:00,20038.42,20086.76,19996.53,20023.83,1221.43,24473193.88,Bitcoin,BTC,490404137708.8695,24471972.45
2022-08-28 22:00:00,19902.28,20021.36,19881.26,19967.04,3306.85,65906694.32,Bitcoin,BTC,1311693484231.0496,65903387.47
2022-08-28 23:00:00,19554.08,19916.58,19527.69,19902.28,7248.99,142899509.79,Bitcoin,BTC,2794268446394.4434,142892260.79999998
2022-08-29 22:00:00,20198.47,20239.98,20161.1,20205.48,1383.71,27948705.08,Bitcoin,BTC,564521081097.2275,27947321.369999997
2022-08-29 23:00:00,20292.37,20348.81,20126.54,20198.47,2382.33,48269395.25,Bitcoin,BTC,979500428089.2424,48267012.92
2022-08-30 22:00:00,19908.55,19910.59,19777.77,19880.6,2687.14,53333022.64,Bitcoin,BTC,1061783147879.572,53330335.5
2022-08-30 23:00:00,19813.51,19927.38,19754.6,19908.55,2364.12,46901379.85,Bitcoin,BTC,929280958671.7734,46899015.730000004
2022-08-31 22:00:00,20153.07,20291.26,20089.43,20281.24,2039.51,41116576.03,Bitcoin,BTC,828625234892.9121,41114536.52
2022-08-31 23:00:00,20050.28,20155.62,19967.68,20153.07,2192.08,43927685.86,Bitcoin,BTC,880762401245.0408,43925493.78
2022-09-01 22:00:00,20077.94,20176.37,20070.35,20087.57,1920.6,38618676.33,Bitcoin,BTC,775383466233.1602,38616755.73
2022-09-01 23:00:00,20129.93,20148.0,20058.19,20077.94,894.89,17984931.78,Bitcoin,BTC,362035417786.1754,17984036.89
2022-09-02 22:00:00,19994.52,20017.72,19886.76,19978.91,1148.89,22926456.37,Bitcoin,BTC,458403490419.0924,22925307.48
2022-09-02 23:00:00,19957.44,20004.41,19929.47,19994.52,875.46,17473110.18,Bitcoin,BTC,348718548030.7392,17472234.72
2022-09-03 22:00:00,19795.03,19824.42,19752.01,19753.11,695.4,13769230.63,Bitcoin,BTC,272562333397.7689,13768535.23
2022-09-03 23:00:00,19834.79,19846.92,19765.56,19795.03,416.37,8243633.21,Bitcoin,BTC,163510733557.37592,8243216.84
2022-09-04 22:00:00,19834.61,19884.78,19820.7,19861.4,1157.54,22977803.26,Bitcoin,BTC,455755766318.8287,22976645.720000003
2022-09-04 23:00:00,20003.46,20022.47,19828.06,19834.61,1904.5,37997054.83,Bitcoin,BTC,760072566409.7118,37995150.33
2022-09-05 22:00:00,19805.9,19815.67,19727.11,19748.98,1188.21,23487240.57,Bitcoin,BTC,465185938005.36304,23486052.36
2022-09-05 23:00:00,19793.29,19864.25,19754.46,19805.9,1303.33,25807913.34,Bitcoin,BTC,510823513033.48865,25806610.01
2022-09-06 22:00:00,18913.16,18996.72,18884.37,18979.38,2142.1,40557662.13,Bitcoin,BTC,767073553090.6309,40555520.03
2022-09-06 23:00:00,18791.95,18923.82,18786.42,18913.16,2408.93,45418460.74,Bitcoin,BTC,853501443303.0431,45416051.81
2022-09-07 22:00:00,19340.38,19420.89,19319.7,19367.9,1410.16,27326628.11,Bitcoin,BTC,528507371766.0818,27325217.95
2022-09-07 23:00:00,19287.52,19352.21,19247.55,19340.38,1463.02,28232981.82,Bitcoin,BTC,544544201512.8864,28231518.8
2022-09-08 22:00:00,19306.9,19336.77,19258.03,19335.22,804.06,15513318.68,Bitcoin,BTC,299514092422.892,15512514.62
2022-09-08 23:00:00,19321.77,19338.9,19287.79,19306.9,557.16,10762533.83,Bitcoin,BTC,207951203280.4791,10761976.67
2022-09-09 22:00:00,21358.31,21405.81,21233.22,21260.12,1597.14,34072236.33,Bitcoin,BTC,727725385929.4023,34070639.19
2022-09-09 23:00:00,21369.73,21559.78,21260.67,21358.31,3575.9,76579876.47,Bitcoin,BTC,1636491283597.253,76576300.57
2022-09-10 22:00:00,21772.5,21807.62,21595.37,21608.52,2263.1,49116239.99,Bitcoin,BTC,1069383335182.275,49113976.89
2022-09-10 23:00:00,21655.13,21794.19,21651.05,21772.5,1267.05,27537034.4,Bitcoin,BTC,596318059746.472,27535767.349999998
2022-09-11 22:00:00,21642.43,21687.18,21515.27,21515.51,1806.1,39061717.1,Bitcoin,BTC,845390478016.5531,39059911.0
2022-09-11 23:00:00,21836.45,21850.77,21582.72,21642.43,1831.95,39781773.22,Bitcoin,BTC,868692701829.869,39779941.269999996
2022-09-12 22:00:00,22325.94,22404.91,22268.74,22342.58,1760.02,39312235.58,Bitcoin,BTC,877682612824.9451,39310475.559999995
2022-09-12 23:00:00,22400.52,22405.26,22318.54,22325.94,1283.56,28700137.61,Bitcoin,BTC,642898006535.5573,28698854.05
2022-09-13 22:00:00,20227.61,20262.25,20080.93,20135.9,2176.74,43910167.7,Bitcoin,BTC,888197747270.1971,43907990.96
2022-09-13 23:00:00,20173.77,20243.5,20109.66,20227.61,1888.46,38091921.24,Bitcoin,BTC,768457657953.8749,38090032.78
2022-09-14 22:00:00,20299.58,20389.91,20143.25,20208.91,2365.03,47937736.13,Bitcoin,BTC,973115909589.8256,47935371.1
2022-09-14 23:00:00,20233.68,20317.35,20200.32,20299.58,1357.89,27512318.25,Bitcoin,BTC,556675443528.66,27510960.36
2022-09-15 22:00:00,19733.43,19829.08,19593.32,19829.08,1942.0,38291987.33,Bitcoin,BTC,755632251537.4419,38290045.33
2022-09-15 23:00:00,19700.15,19756.54,19640.37,19733.43,1289.6,25397429.59,Bitcoin,BTC,500333172537.43854,25396139.99
2022-09-16 22:00:00,19729.35,19773.41,19704.06,19739.51,1891.91,37345465.94,Bitcoin,BTC,736801768443.3389,37343574.03
2022-09-16 23:00:00,19804.02,19805.98,19696.45,19729.35,1189.03,23465753.17,Bitcoin,BTC,464716245093.74347,23464564.14
2022-09-17 22:00:00,20129.27,20139.24,20032.81,20035.89,949.92,19093136.14,Bitcoin,BTC,384330892508.8178,19092186.22
2022-09-17 23:00:00,20118.35,20147.07,20100.58,20129.27,877.87,17663807.57,Bitcoin,BTC,355366663025.9095,17662929.7
2022-09-18 22:00:00,19451.01,19479.0,19345.98,19464.47,3022.6,58645501.75,Bitcoin,BTC,1140714240994.2673,58642479.15
2022-09-18 23:00:00,19417.72,19529.24,19382.28,19451.01,2107.93,41008479.05,Bitcoin,BTC,796291163818.766,41006371.12
2022-09-19 22:00:00,19607.56,19681.29,19469.48,19522.3,1453.9,28425144.66,Bitcoin,BTC,557347729429.6296,28423690.76
